dist_group,mode,trips,source,share,scaled_trips
0 - 1000,bike,423.1216294900378,srv,0.015964537480546374,297392.6264784752
0 - 1000,car,705.4382741103,srv,0.026616450170177344,495819.94049548847
0 - 1000,pt,53.379253873109626,srv,0.0020140192316991704,37517.80907045111
0 - 1000,ride,246.21505086060705,srv,0.009289786042080146,173053.17325001291
0 - 1000,walk,3594.147472095588,srv,0.13560852962784306,2526160.0499263657
1000 - 2000,bike,672.2042230958212,srv,0.022970150489503613,472461.26291706384
1000 - 2000,car,1166.558294132626,srv,0.03986291464757038,819919.8784767382
1000 - 2000,pt,456.2339304456801,srv,0.015590146090559628,320665.73157076887
1000 - 2000,ride,518.976094836707,srv,0.017734132856161433,364764.2974646476
1000 - 2000,walk,1214.2943274130555,srv,0.041494121103211996,853471.3287584006
2000 - 5000,bike,1057.2947270194363,srv,0.042544243104553084,743123.5699510744
2000 - 5000,car,2889.682432963423,srv,0.11627727707441075,2031024.1512906072
2000 - 5000,pt,966.759559615439,srv,0.038901219004352235,679490.5875025202
2000 - 5000,ride,897.9174229595062,srv,0.036131095856208474,631104.633191527
2000 - 5000,walk,668.4713385378119,srv,0.026898466821404943,469837.590985224
5000 - 10000,bike,198.34574624139395,srv,0.00919853020652027,139408.05270733652
5000 - 10000,car,2515.645573632415,srv,0.11666618637636068,1768130.939874604
5000 - 10000,pt,610.7705956942975,srv,0.028325244580293864,429282.4071609571
5000 - 10000,ride,645.1859712772746,srv,0.029921300345883476,453471.3831492568
5000 - 10000,walk,133.74877880116648,srv,0.006202765651401498,94005.83152392122
10000 - 20000,bike,69.30542766705287,srv,0.002840328721766679,48711.58013822149
10000 - 20000,car,2019.1242104347575,srv,0.08274931243860979,1419149.0348795983
10000 - 20000,pt,370.30861806592895,srv,0.015176274632678179,260272.80304003943
10000 - 20000,ride,407.2744277684782,srv,0.016691236080227666,286254.3612283888
10000 - 20000,walk,45.98246747353429,srv,0.0018844891007701947,32318.949968114044
20000+,bike,56.41286223227586,srv,0.0021581484262303777,39649.99209954097
20000+,car,1886.796945183899,srv,0.07218190491910881,1326142.319493536
20000+,pt,484.1221938273992,srv,0.018520732850070255,340267.1022334053
20000+,ride,231.91856926051148,srv,0.00887235065652823,163004.83746160645
20000+,walk,18.666339074895536,srv,0.0007141054132672617,13119.706527202425
