linkID_hin,linkID_rueck,SollWertDTV_Pkw,SollWertDTV_Lkw
1257451120009f,1058833800010f,"31105","8526"
3213804240001r,1337273680000r-3213804240001f,"12717","328"
3455804750008r,3455804750008f,"4691","416"
321041500001f,321041500001r,"11972","230"
251157440010f-234472680000f-2317885070000f,252162210000f-2317885060000f,"62343","4042"
376775170004f,376775170004r,"19074","1004"
4982239710000f-4832648480002f,4832648480002r-4982239710000r,"11935","1305"
824495220007f,824495220007r,"5638","150"
90534280013f-4564857020001f,4564857020001r-90534280013r,"9954","1143"
246515420009f,246515420009r,"7623","1313"
1450107220016f-1450488130003f-327432370004f,2503997310004f-1450488330006f-1450488290025f,"66235","12080"
473139690008r,473139690008f,"9100","344"
1473946590008f-227803900005f,1259725460010f,"38775","2724"
1841976150004r,1841976150004f,"6563","622"
234937590006f,422004090007f,"12468","1073"
6167941200011f,6529095550003r-6167941200011r,"8254","346"
448897040004r,448897040004f,"2115","66"
4832822050000r,4832822050000f,"15350","514"
657021060004f,657021060004r,"5921","306"
1552735490016r,1552735490016f,"2723","59"
378687710002f-280345900000f-280345920005f-2325558940009f,2890883030015f-280345870000f,"62054","15515"
1610337190007r,1610337190007f,"6061","322"
2911132870000f-2911132880001f,2911132860024f,"54998","3188"
3636939240004r-2351868910011r,2351868910011f-3636939240004f,"8531","439"
268591170009r,6399998650001f-268591170009f,"4310","219"
1495771220002r,1495771220002f,"13363","472"
6523582410000r,6523582410000f,"16595","595"
1649600610012f,2318200900000f,"22007","2644"
48468140002f-8613543290000f,154093350002f,"18690","552"
2665751760011f-2835997470002f,5156414550011f,"86390","27010"
225602270003r-3242365270000f,225602270003f,"5601","448"
3506314940000r-4308357410000r,4308357410000f-3506314940000f,"8260","1137"
2053204910001f-280326380000f,280326410000f-280326390001f,"80225","2295"
7699857290016r,7699857290016f,"7877","293"
3217992780000r,3217992780000f,"9681","649"
2910922020009f-6318693940001f,3313511680007f,"69409","13887"
327293760002f-4023380680001f,4023380670001r-4023380680001r,"12493","419"
1552974790003f,1486823880001f,"45057","9854"
6529583730002r,6529583730002f-448913060003f,"14126","614"
49953160011f,49953160011r,"13966","695"
2297022190002f,2297022190002r,"14838","851"
2297022370004f,3027223690002f,"16313","1977"
3680466750021f,3680466750021r,"1730","41"
204823020007f,204823020007r,"9085","352"
780610280003f,780610280003r,"4042","234"
46341410001r,46341410001f,"9378","420"
327452290006f,2911352880000f,"20872","1304"
435444030003r,435444030003f,"13604","1904"
329660580001r,329660580001f,"617","74"
2295319580002r,2295319580002f,"3069","128"
454517620002f,454517620002r,"13874","639"
2892576460010f-46782900000f-46782930005f,46782970004f-46782920000f-46782910006f,"19968","4885"
8684798380000r-2362082010003r,2362082010003f-8684798380000f,"8539","2314"
1493627410000f,1493627400000f,"21365","2499"
329233240005f,329233240005r,"7215","274"
1378270910003f,2924599060002f,"52864","10159"
2922666710008f,2922666860006f,"46040","1612"
