dist_group,main_mode,share
0 - 1000,bike,0.019439528380006888
0 - 1000,car,0.028632851302105043
0 - 1000,pt,0.002393154651487038
0 - 1000,ride,0.01145732347745174
0 - 1000,walk,0.14523634732507612
1000 - 2000,bike,0.02011120189773062
1000 - 2000,car,0.04498241817448038
1000 - 2000,pt,0.009590302669169147
1000 - 2000,ride,0.02069632886533305
1000 - 2000,walk,0.05156167013989373
2000 - 5000,bike,0.036277538896085405
2000 - 5000,car,0.12609265493975763
2000 - 5000,pt,0.03816740024767115
2000 - 5000,ride,0.042802558992193346
2000 - 5000,walk,0.028929374533522734
5000 - 10000,bike,0.00999804813994387
5000 - 10000,car,0.09335834149302451
5000 - 10000,pt,0.026579792041940407
5000 - 10000,ride,0.027477236416652315
5000 - 10000,walk,0.006338249950978213
10000 - 20000,bike,0.003281447695010835
10000 - 20000,car,0.07213685174537567
10000 - 20000,pt,0.017325390288639626
10000 - 20000,ride,0.020833531241123474
10000 - 20000,walk,0.001135774125359449
20000 - 50000,bike,0.001191249936394829
20000 - 50000,car,0.049080647581906535
20000 - 50000,pt,0.012945016979412355
20000 - 50000,ride,0.00793261603125756
20000 - 50000,walk,0.0005352066126369267
50000+,bike,0.0006510836748777198
50000+,car,0.01662413804240165
50000+,pt,0.003557500854225247
50000+,ride,0.0026472226568747433
50000+,walk,0.0
