purpose,h,arrival,departure
work_business,5.0,0.0,0.00021709617110275586
work_business,6.0,0.000361899578995957,0.0010030860829485099
work_business,7.0,0.0017130517016600017,0.0016118887163987222
work_business,8.0,0.0010943378090452092,0.0013757170229212244
work_business,9.0,0.0011718721512608205,0.001051141656694793
work_business,10.0,0.002054650291006957,0.0029727152197377136
work_business,11.0,0.002409767964743894,0.001989823735553123
work_business,12.0,0.00233713310566186,0.0016974013678536378
work_business,13.0,0.00222741730244943,0.0019574970317535814
work_business,14.0,0.0011263083921513688,0.0013765063607345592
work_business,15.0,0.0014539274023522826,0.0018357685519294323
work_business,16.0,0.0011242781264836194,0.0005429304727201837
work_business,17.0,0.0010077648662464489,0.0008809478062013572
work_business,18.0,0.0006092093436677481,0.0005459389732300409
work_business,19.0,0.00019819298542684646,0.0
work_business,20.0,4.834455176673117e-05,5.5535224930630466e-05
work_business,21.0,0.0003804800854544568,0.00011887787487044861
work_business,22.0,0.00011887787487044861,0.0
